name,atom,M0,P11
POSP,C310,-0.01658000,7.90618000 0.00000000 0.00000000 7.90618000 0.00000000 7.90618000
POSP,C311,-0.00602000,7.85945000 0.00000000 0.00000000 7.85945000 0.00000000 7.85945000
POSP,C312,-0.01214000,7.81528000 0.00000000 0.00000000 7.81528000 0.00000000 7.81528000
POSP,C313,-0.04092000,7.76514000 0.00000000 0.00000000 7.76514000 0.00000000 7.76514000
POSP,C314,-0.03863000,7.64523000 0.00000000 0.00000000 7.64523000 0.00000000 7.64523000
POSP,C315,0.15568000,7.52877000 0.00000000 0.00000000 7.52877000 0.00000000 7.52877000
POSP,C316,-0.22377000,7.40613000 0.00000000 0.00000000 7.40613000 0.00000000 7.40613000
POSP,C32,-0.26478000,8.20754000 0.00000000 0.00000000 8.20754000 0.00000000 8.20754000
POSP,C33,0.06841000,7.93181000 0.00000000 0.00000000 7.93181000 0.00000000 7.93181000
POSP,C34,0.03536000,7.96806000 0.00000000 0.00000000 7.96806000 0.00000000 7.96806000
POSP,C35,-0.07515000,7.91253000 0.00000000 0.00000000 7.91253000 0.00000000 7.91253000
POSP,C36,-0.01736000,7.91498000 0.00000000 0.00000000 7.91498000 0.00000000 7.91498000
POSP,C37,-0.00520000,7.88638000 0.00000000 0.00000000 7.88638000 0.00000000 7.88638000
POSP,C38,-0.02825000,7.90459000 0.00000000 0.00000000 7.90459000 0.00000000 7.90459000
POSP,C39,-0.00568000,7.90371000 0.00000000 0.00000000 7.90371000 0.00000000 7.90371000
POSO,H101,0.11318000,2.70105000 0.00000000 0.00000000 2.70105000 0.00000000 2.70105000
POSP,H10X,0.00662000,2.55274000 0.00000000 0.00000000 2.55274000 0.00000000 2.55274000
POSP,H10Y,0.00662000,2.55274000 0.00000000 0.00000000 2.55274000 0.00000000 2.55274000
POSH,H11A,0.01219000,2.31733000 0.00000000 0.00000000 2.31733000 0.00000000 2.31733000
POSH,H11B,0.01219000,2.31733000 0.00000000 0.00000000 2.31733000 0.00000000 2.31733000
POSO,H11R,-0.00030000,2.50149000 0.00000000 0.00000000 2.50149000 0.00000000 2.50149000
POSO,H11S,-0.00030000,2.50149000 0.00000000 0.00000000 2.50149000 0.00000000 2.50149000
POSP,H11X,0.00570000,2.53892000 0.00000000 0.00000000 2.53892000 0.00000000 2.53892000
POSP,H11Y,0.00570000,2.53892000 0.00000000 0.00000000 2.53892000 0.00000000 2.53892000
POSH,H12A,0.18301000,2.25672000 0.00000000 0.00000000 2.25672000 0.00000000 2.25672000
POSO,H12R,0.01577000,2.58087000 0.00000000 0.00000000 2.58087000 0.00000000 2.58087000
POSO,H12S,0.01577000,2.58087000 0.00000000 0.00000000 2.58087000 0.00000000 2.58087000
POSP,H12X,0.00824000,2.53508000 0.00000000 0.00000000 2.53508000 0.00000000 2.53508000
POSP,H12Y,0.00824000,2.53508000 0.00000000 0.00000000 2.53508000 0.00000000 2.53508000
POSO,H13R,0.00860000,2.52965000 0.00000000 0.00000000 2.52965000 0.00000000 2.52965000
POSO,H13S,0.00860000,2.52965000 0.00000000 0.00000000 2.52965000 0.00000000 2.52965000
POSP,H13X,0.01398000,2.55073000 0.00000000 0.00000000 2.55073000 0.00000000 2.55073000
POSP,H13Y,0.01398000,2.55073000 0.00000000 0.00000000 2.55073000 0.00000000 2.55073000
POSO,H14R,0.00705000,2.53351000 0.00000000 0.00000000 2.53351000 0.00000000 2.53351000
POSO,H14S,0.00705000,2.53351000 0.00000000 0.00000000 2.53351000 0.00000000 2.53351000
POSP,H14X,0.01137000,2.56782000 0.00000000 0.00000000 2.56782000 0.00000000 2.56782000
POSP,H14Y,0.01137000,2.56782000 0.00000000 0.00000000 2.56782000 0.00000000 2.56782000
POSO,H15R,0.01122000,2.54155000 0.00000000 0.00000000 2.54155000 0.00000000 2.54155000
POSO,H15S,0.01122000,2.54155000 0.00000000 0.00000000 2.54155000 0.00000000 2.54155000
POSP,H15X,-0.02487000,2.59661000 0.00000000 0.00000000 2.59661000 0.00000000 2.59661000
POSP,H15Y,-0.02487000,2.59661000 0.00000000 0.00000000 2.59661000 0.00000000 2.59661000
POSO,H16R,0.01152000,2.58498000 0.00000000 0.00000000 2.58498000 0.00000000 2.58498000
POSO,H16S,0.01152000,2.58498000 0.00000000 0.00000000 2.58498000 0.00000000 2.58498000
POSP,H16X,0.04630000,2.67933000 0.00000000 0.00000000 2.67933000 0.00000000 2.67933000
POSP,H16Y,0.04630000,2.67933000 0.00000000 0.00000000 2.67933000 0.00000000 2.67933000
POSP,H16Z,0.04630000,2.67933000 0.00000000 0.00000000 2.67933000 0.00000000 2.67933000
POSO,H17R,-0.02477000,2.58933000 0.00000000 0.00000000 2.58933000 0.00000000 2.58933000
POSO,H17S,-0.02477000,2.58933000 0.00000000 0.00000000 2.58933000 0.00000000 2.58933000
POSO,H18R,0.04127000,2.68430000 0.00000000 0.00000000 2.68430000 0.00000000 2.68430000
POSO,H18S,0.04127000,2.68430000 0.00000000 0.00000000 2.68430000 0.00000000 2.68430000
POSO,H18T,0.04127000,2.68430000 0.00000000 0.00000000 2.68430000 0.00000000 2.68430000
POSO,H2R,0.06646000,2.42207000 0.00000000 0.00000000 2.42207000 0.00000000 2.42207000
POSO,H2S,0.06646000,2.42207000 0.00000000 0.00000000 2.42207000 0.00000000 2.42207000
POSP,H2X,0.07249000,2.43157000 0.00000000 0.00000000 2.43157000 0.00000000 2.43157000
POSP,H2Y,0.07249000,2.43157000 0.00000000 0.00000000 2.43157000 0.00000000 2.43157000
POSO,H3R,0.01076000,2.49489000 0.00000000 0.00000000 2.49489000 0.00000000 2.49489000
POSO,H3S,0.01076000,2.49489000 0.00000000 0.00000000 2.49489000 0.00000000 2.49489000
POSP,H3X,-0.00092000,2.45826000 0.00000000 0.00000000 2.45826000 0.00000000 2.45826000
POSP,H3Y,-0.00092000,2.45826000 0.00000000 0.00000000 2.45826000 0.00000000 2.45826000
POSO,H4R,0.00145000,2.50696000 0.00000000 0.00000000 2.50696000 0.00000000 2.50696000
POSO,H4S,0.00145000,2.50696000 0.00000000 0.00000000 2.50696000 0.00000000 2.50696000
POSP,H4X,-0.00708000,2.56432000 0.00000000 0.00000000 2.56432000 0.00000000 2.56432000
POSP,H4Y,-0.00708000,2.56432000 0.00000000 0.00000000 2.56432000 0.00000000 2.56432000
POSO,H5R,0.02300000,2.53082000 0.00000000 0.00000000 2.53082000 0.00000000 2.53082000
POSO,H5S,0.02300000,2.53082000 0.00000000 0.00000000 2.53082000 0.00000000 2.53082000
POSP,H5X,0.01965000,2.52319000 0.00000000 0.00000000 2.52319000 0.00000000 2.52319000
POSP,H5Y,0.01965000,2.52319000 0.00000000 0.00000000 2.52319000 0.00000000 2.52319000
POSO,H6R,0.01040000,2.50584000 0.00000000 0.00000000 2.50584000 0.00000000 2.50584000
POSO,H6S,0.01040000,2.50584000 0.00000000 0.00000000 2.50584000 0.00000000 2.50584000
POSP,H6X,0.01073000,2.54305000 0.00000000 0.00000000 2.54305000 0.00000000 2.54305000
POSP,H6Y,0.01073000,2.54305000 0.00000000 0.00000000 2.54305000 0.00000000 2.54305000
POSO,H7R,0.02282000,2.57966000 0.00000000 0.00000000 2.57966000 0.00000000 2.57966000
POSO,H7S,0.02282000,2.57966000 0.00000000 0.00000000 2.57966000 0.00000000 2.57966000
POSP,H7X,0.00790000,2.53536000 0.00000000 0.00000000 2.53536000 0.00000000 2.53536000
POSP,H7Y,0.00790000,2.53536000 0.00000000 0.00000000 2.53536000 0.00000000 2.53536000
POSO,H8R,0.00630000,2.50866000 0.00000000 0.00000000 2.50866000 0.00000000 2.50866000
POSO,H8S,0.00630000,2.50866000 0.00000000 0.00000000 2.50866000 0.00000000 2.50866000
POSP,H8X,0.01085000,2.55000000 0.00000000 0.00000000 2.55000000 0.00000000 2.55000000
POSP,H8Y,0.01085000,2.55000000 0.00000000 0.00000000 2.55000000 0.00000000 2.55000000
POSO,H91,0.10845000,2.69356000 0.00000000 0.00000000 2.69356000 0.00000000 2.69356000
POSP,H9X,0.00536000,2.54181000 0.00000000 0.00000000 2.54181000 0.00000000 2.54181000
POSP,H9Y,0.00536000,2.54181000 0.00000000 0.00000000 2.54181000 0.00000000 2.54181000
POSH,HA,0.02955000,2.45988000 0.00000000 0.00000000 2.45988000 0.00000000 2.45988000
POSH,HB,0.02955000,2.45988000 0.00000000 0.00000000 2.45988000 0.00000000 2.45988000
POSH,HN1,0.28680000,1.93541000 0.00000000 0.00000000 1.93541000 0.00000000 1.93541000
POSH,HN2,0.28680000,1.93541000 0.00000000 0.00000000 1.93541000 0.00000000 1.93541000
POSH,HN3,0.28680000,1.93541000 0.00000000 0.00000000 1.93541000 0.00000000 1.93541000
POSH,HS,0.01277000,2.07789000 0.00000000 0.00000000 2.07789000 0.00000000 2.07789000
POSH,HX,0.04078000,2.29699000 0.00000000 0.00000000 2.29699000 0.00000000 2.29699000
POSH,HY,0.04078000,2.29699000 0.00000000 0.00000000 2.29699000 0.00000000 2.29699000
POSH,N,-0.31375000,6.65416000 0.00000000 0.00000000 6.65416000 0.00000000 6.65416000
POSH,O11,-0.46250000,7.09856000 0.00000000 0.00000000 7.09856000 0.00000000 7.09856000
POSH,O12,-0.50502000,7.03264000 0.00000000 0.00000000 7.03264000 0.00000000 7.03264000
POSH,O13,-0.80572000,7.04161000 0.00000000 0.00000000 7.04161000 0.00000000 7.04161000
POSH,O13A,-0.71884000,6.90879000 0.00000000 0.00000000 6.90879000 0.00000000 6.90879000
POSH,O13B,-0.71884000,6.90879000 0.00000000 0.00000000 6.90879000 0.00000000 6.90879000
POSH,O14,-0.80572000,7.04161000 0.00000000 0.00000000 7.04161000 0.00000000 7.04161000
POSH,O21,-0.44614000,6.26548000 0.00000000 0.00000000 6.26548000 0.00000000 6.26548000
POSH,O22,-0.57059000,5.22329000 0.00000000 0.00000000 5.22329000 0.00000000 5.22329000
POSH,O31,-0.44644000,6.54700000 0.00000000 0.00000000 6.54700000 0.00000000 6.54700000
POSH,O32,-0.56420000,5.32514000 0.00000000 0.00000000 5.32514000 0.00000000 5.32514000
POSH,P,1.31175000,12.15811000 0.00000000 0.00000000 12.15811000 0.00000000 12.15811000
